id:ID,name,:LABEL,描述
fp_067,液压系统有气泡,故障现象,液压油箱内有明显的气泡
fp_068,变桨刹车无法抱死,故障现象,发出变桨刹车指令后,叶片仍能转动
fp_069,偏航刹车无法抱死,故障现象,发出偏航刹车指令后,机舱仍能转动
fp_070,发电机集电环表面有油污,故障现象,发电机集电环表面覆盖有油污
fp_071,齿轮箱油呈乳白色,故障现象,齿轮箱润滑油变成乳白色,说明进水乳化
fp_072,液压油呈乳白色,故障现象,液压油变成乳白色,说明进水乳化
fp_073,叶片表面有冰层,故障现象,叶片表面覆盖有冰层
fp_074,机舱罩有破损,故障现象,机舱罩表面出现裂缝或孔洞
fp_075,导流罩有破损,故障现象,导流罩表面出现裂缝或孔洞
fp_076,爬梯有锈蚀,故障现象,爬梯表面出现明显的锈蚀
fp_077,升降机无法运行,故障现象,升降机通电后无法上下运行
fp_078,防雷装置有损坏,故障现象,避雷针或引下线出现断裂或锈蚀
fp_079,齿轮箱行星架有裂纹,故障现象,齿轮箱行星架表面出现裂纹
fp_080,发电机转子不平衡,故障现象,发电机运行时振动明显增大
fp_081,主轴不平衡,故障现象,主轴运行时振动明显增大
fp_082,联轴器不对中,故障现象,联轴器处振动和异响明显增大
fp_083,齿轮箱不对中,故障现象,齿轮箱输入轴处振动明显增大
fp_084,发电机不对中,故障现象,发电机输入轴处振动明显增大
fp_085,偏航齿轮有磨损痕迹,故障现象,偏航齿轮齿面出现磨损或点蚀
fp_086,变桨齿轮有磨损痕迹,故障现象,变桨齿轮齿面出现磨损或点蚀
fp_087,液压泵轴封处漏油,故障现象,液压泵轴端有液压油渗漏
fp_088,液压缸活塞杆处漏油,故障现象,液压缸活塞杆处有液压油渗漏
fp_089,变频器风扇不转,故障现象,变频器散热风扇通电后不转动
fp_090,主控柜温度超过40℃,故障现象,主控柜内部温度传感器显示温度高于40℃
fp_091,控制柜温度超过40℃,故障现象,控制柜内部温度传感器显示温度高于40℃
fp_092,变压器油位低于最低刻度,故障现象,变压器油位计显示油位在最低刻度以下
fp_093,变压器油位高于最高刻度,故障现象,变压器油位计显示油位在最高刻度以上
fp_094,变压器油颜色变深,故障现象,变压器油颜色明显变深,说明油质劣化
fp_095,齿轮箱油加热器不工作,故障现象,齿轮箱油加热器通电后不发热
fp_096,液压油加热器不工作,故障现象,液压油加热器通电后不发热
fp_097,蓄电池充电不足,故障现象,蓄电池充电后电压仍达不到额定值
fp_098,人机界面黑屏,故障现象,人机界面通电后屏幕不亮
fp_099,人机界面无响应,故障现象,点击人机界面按钮没有反应
fp_100,齿轮箱齿轮断齿,故障现象,齿轮箱突然发出巨大的撞击声,随后停机
